ferment_id,ingredient,source
1,green onion,CSA: Stone Soup Farm
1,scallion,CSA: Stone Soup Farm
1,thai pepper (dried),NA
1,CA bay leaf (dried),gramE's house
2,leek,CSA: Stone Soup Farm
2,green onion,CSA: Stone Soup Farm
2,red onion,Whole Foods
2,garlic,Whole Foods
2,ginger,Shaw's
3,green beans,Shaw's
3,garlic,Whole Foods
3,CA bay leaf (dried),gramE's house
3,thai pepper (dried),NA
3,sage (fresh),homegrown
3,coriander seeds,homegrown
4,kohlrabi,CSA: Stone Soup Farm
4,red beet,CSA: Stone Soup Farm
4,scallion,Shaw's
4,dill,CSA: Stone Soup Farm
4,green onion,Shaw's
5,napa cabbage,CSA: Stone Soup Farm
5,green onion,homegrown
5,garlic,Shaw's
5,Caraway seed,Whole Foods
5,beet stems,CSA: Stone Soup Farm
6,napa cabbage,CSA: Stone Soup Farm
6,garlic,Shaw's
6,green onion,CSA: Stone Soup Farm
6,Kala Namak (salt),Raw Spice Bar
6,ginger salt,Christina's Spice Store
6,cayanne pepper,Whole Foods
